dataset,legislature,segment,shift_class,frequency,probability,dominant_pshift
final_dataset,1,1,Turn Claiming,56,0.68,A0-X0
final_dataset,1,2,Turn Claiming,50,0.62,A0-X0
final_dataset,1,3,Turn Claiming,56,0.67,A0-X0
final_dataset,2,1,Turn Claiming,54,0.68,A0-X0
final_dataset,2,2,Turn Claiming,52,0.63,A0-X0
final_dataset,2,3,Turn Claiming,62,0.75,A0-X0
final_dataset,3,1,Turn Claiming,78,0.95,A0-X0
final_dataset,3,2,Turn Claiming,78,0.93,A0-X0
final_dataset,3,3,Turn Claiming,72,0.86,A0-X0
final_dataset,4,1,Turn Receiving,28,0.42,AB-BA
final_dataset,4,2,Turn Claiming,38,0.61,A0-X0
final_dataset,4,3,Turn Claiming,34,0.55,A0-X0
final_dataset,5,1,Turn Claiming,66,0.87,A0-X0
final_dataset,5,2,Turn Claiming,67,0.87,A0-X0
final_dataset,5,3,Turn Claiming,66,0.85,A0-X0
final_dataset,6,1,Turn Claiming,48,0.69,A0-X0
final_dataset,6,2,Turn Claiming,52,0.73,A0-X0
final_dataset,6,3,Turn Claiming,45,0.63,A0-X0
final_dataset,7,1,Turn Claiming,44,0.5,A0-X0
final_dataset,7,2,Turn Claiming,66,0.73,A0-X0
final_dataset,7,3,Turn Claiming,57,0.63,A0-X0
final_dataset,8,1,Turn Claiming,63,0.61,A0-X0
final_dataset,8,2,Turn Claiming,59,0.56,A0-X0
final_dataset,8,3,Turn Claiming,53,0.5,A0-X0
final_dataset,9,1,Turn Claiming,63,0.51,A0-X0
final_dataset,9,2,Turn Claiming,86,0.69,A0-X0
final_dataset,9,3,Turn Claiming,68,0.54,A0-X0
final_dataset,10,1,Turn Claiming,53,0.52,A0-X0
final_dataset,10,2,Turn Claiming,56,0.54,A0-X0
final_dataset,10,3,Turn Claiming,59,0.57,A0-X0
final_dataset,11,1,Turn Claiming,60,0.66,A0-X0
final_dataset,11,2,Turn Claiming,74,0.8,A0-X0
final_dataset,11,3,Turn Claiming,71,0.76,A0-X0
final_dataset,12,1,Turn Claiming,67,0.74,A0-X0
final_dataset,12,2,Turn Claiming,57,0.62,A0-X0
final_dataset,12,3,Turn Claiming,82,0.89,A0-X0
final_dataset,13,1,Turn Claiming,64,0.8,A0-X0
final_dataset,13,2,Turn Claiming,58,0.72,A0-X0
final_dataset,13,3,Turn Claiming,72,0.89,A0-X0
final_dataset,14,1,Turn Claiming,73,0.9,A0-X0
final_dataset,14,2,Turn Claiming,81,0.98,A0-X0
final_dataset,14,3,Turn Claiming,75,0.9,A0-X0
