dataset,segment,pshift,shift_class,global_probability,total_frequency,total_transitions
final_dataset,1,A0-X0,Turn Claiming,0.43467543138866066,1058,2434
final_dataset,1,A0-XA,Turn Claiming,0.18816762530813474,458,2434
final_dataset,1,AB-B0,Turn Receiving,0.1372226787181594,334,2434
final_dataset,1,AB-BA,Turn Receiving,0.09654889071487263,235,2434
final_dataset,1,AB-XA,Turn Usurping,0.09531635168447,232,2434
final_dataset,1,AB-X0,Turn Usurping,0.04683648315529992,114,2434
final_dataset,1,AB-A0,Turn Continuing,0.0012325390304026294,3,2434
final_dataset,1,A0-AY,Turn Continuing,0.0,0,2434
final_dataset,1,A0-XY,Turn Claiming,0.0,0,2434
final_dataset,1,AB-AY,Turn Continuing,0.0,0,2434
final_dataset,1,AB-BY,Turn Receiving,0.0,0,2434
final_dataset,1,AB-XB,Turn Usurping,0.0,0,2434
final_dataset,1,AB-XY,Turn Usurping,0.0,0,2434
final_dataset,2,A0-X0,Turn Claiming,0.4270117266477962,1056,2473
final_dataset,2,A0-XA,Turn Claiming,0.18479579458148,457,2473
final_dataset,2,AB-B0,Turn Receiving,0.12818439142741608,317,2473
final_dataset,2,AB-XA,Turn Usurping,0.10917913465426607,270,2473
final_dataset,2,AB-BA,Turn Receiving,0.09300444803881924,230,2473
final_dataset,2,AB-X0,Turn Usurping,0.05539830165790538,137,2473
final_dataset,2,AB-A0,Turn Continuing,0.002426202992317024,6,2473
final_dataset,2,A0-AY,Turn Continuing,0.0,0,2473
final_dataset,2,A0-XY,Turn Claiming,0.0,0,2473
final_dataset,2,AB-AY,Turn Continuing,0.0,0,2473
final_dataset,2,AB-BY,Turn Receiving,0.0,0,2473
final_dataset,2,AB-XB,Turn Usurping,0.0,0,2473
final_dataset,2,AB-XY,Turn Usurping,0.0,0,2473
final_dataset,3,A0-X0,Turn Claiming,0.4675534058847239,1160,2481
final_dataset,3,A0-XA,Turn Claiming,0.17452640064490124,433,2481
final_dataset,3,AB-B0,Turn Receiving,0.12857718661829906,319,2481
final_dataset,3,AB-BA,Turn Receiving,0.10519951632406288,261,2481
final_dataset,3,AB-XA,Turn Usurping,0.06972994760177348,173,2481
final_dataset,3,AB-X0,Turn Usurping,0.05078597339782346,126,2481
final_dataset,3,AB-A0,Turn Continuing,0.0036275695284159614,9,2481
final_dataset,3,A0-AY,Turn Continuing,0.0,0,2481
final_dataset,3,A0-XY,Turn Claiming,0.0,0,2481
final_dataset,3,AB-AY,Turn Continuing,0.0,0,2481
final_dataset,3,AB-BY,Turn Receiving,0.0,0,2481
final_dataset,3,AB-XB,Turn Usurping,0.0,0,2481
final_dataset,3,AB-XY,Turn Usurping,0.0,0,2481
