dataset,legislature,shift_class,global_probability,total_frequency,total_transitions
final_dataset,1,Turn Claiming,0.8004073319755601,393,491
final_dataset,1,Turn Receiving,0.13238289205702647,65,491
final_dataset,1,Turn Usurping,0.059063136456211814,29,491
final_dataset,1,Turn Continuing,0.008146639511201629,4,491
final_dataset,2,Turn Claiming,0.5609756097560976,276,492
final_dataset,2,Turn Receiving,0.2865853658536585,141,492
final_dataset,2,Turn Usurping,0.1443089430894309,71,492
final_dataset,2,Turn Continuing,0.008130081300813009,4,492
final_dataset,3,Turn Claiming,0.5938104448742747,307,517
final_dataset,3,Turn Receiving,0.3152804642166344,163,517
final_dataset,3,Turn Usurping,0.09090909090909091,47,517
final_dataset,3,Turn Continuing,0.0,0,517
final_dataset,4,Turn Claiming,0.5839793281653747,226,387
final_dataset,4,Turn Receiving,0.29457364341085274,114,387
final_dataset,4,Turn Usurping,0.11627906976744186,45,387
final_dataset,4,Turn Continuing,0.00516795865633075,2,387
final_dataset,5,Turn Claiming,0.6594360086767896,304,461
final_dataset,5,Turn Receiving,0.21475054229934923,99,461
final_dataset,5,Turn Usurping,0.12581344902386118,58,461
final_dataset,5,Turn Continuing,0.0,0,461
final_dataset,6,Turn Claiming,0.62004662004662,266,429
final_dataset,6,Turn Receiving,0.23776223776223776,102,429
final_dataset,6,Turn Usurping,0.14219114219114218,61,429
final_dataset,6,Turn Continuing,0.0,0,429
final_dataset,7,Turn Claiming,0.6243194192377496,344,551
final_dataset,7,Turn Receiving,0.2395644283121597,132,551
final_dataset,7,Turn Usurping,0.13430127041742287,74,551
final_dataset,7,Turn Continuing,0.0018148820326678765,1,551
final_dataset,8,Turn Claiming,0.5559105431309904,348,626
final_dataset,8,Turn Receiving,0.25878594249201275,162,626
final_dataset,8,Turn Usurping,0.1853035143769968,116,626
final_dataset,8,Turn Continuing,0.0,0,626
final_dataset,9,Turn Claiming,0.5645805592543276,424,751
final_dataset,9,Turn Receiving,0.2303595206391478,173,751
final_dataset,9,Turn Usurping,0.19840213049267644,149,751
final_dataset,9,Turn Continuing,0.006657789613848202,5,751
final_dataset,10,Turn Claiming,0.45203252032520325,278,615
final_dataset,10,Turn Usurping,0.3203252032520325,197,615
final_dataset,10,Turn Receiving,0.22764227642276422,140,615
final_dataset,10,Turn Continuing,0.0,0,615
final_dataset,11,Turn Claiming,0.6793478260869565,375,552
final_dataset,11,Turn Receiving,0.26811594202898553,148,552
final_dataset,11,Turn Usurping,0.05253623188405797,29,552
final_dataset,11,Turn Continuing,0.0,0,552
final_dataset,12,Turn Claiming,0.56,308,550
final_dataset,12,Turn Usurping,0.26,143,550
final_dataset,12,Turn Receiving,0.18,99,550
final_dataset,12,Turn Continuing,0.0,0,550
final_dataset,13,Turn Claiming,0.7231404958677686,350,484
final_dataset,13,Turn Receiving,0.22933884297520662,111,484
final_dataset,13,Turn Usurping,0.047520661157024795,23,484
final_dataset,13,Turn Continuing,0.0,0,484
final_dataset,14,Turn Claiming,0.8775933609958506,423,482
final_dataset,14,Turn Receiving,0.0975103734439834,47,482
final_dataset,14,Turn Usurping,0.02074688796680498,10,482
final_dataset,14,Turn Continuing,0.004149377593360996,2,482
