dataset,pshift,shift_class,global_probability,total_frequency,total_transitions,avg_probability,avg_p_s_given_d,avg_p_s_given_d_c
final_dataset,A0-X0,Turn Claiming,0.4431510557661072,3274,7388,0.45285714285714285,0.6185714285714285,0.6185714285714285
final_dataset,A0-XA,Turn Claiming,0.1824580400649702,1348,7388,0.18142857142857144,0.3814285714285714,0.3814285714285714
final_dataset,AB-B0,Turn Receiving,0.1312939902544667,970,7388,0.12964285714285714,0.5234523809523809,0.531547619047619
final_dataset,AB-BA,Turn Receiving,0.09826746074715756,726,7388,0.09797619047619048,0.15357142857142858,0.15392857142857141
final_dataset,AB-XA,Turn Usurping,0.09136437466161343,675,7388,0.08535714285714285,0.13023809523809524,0.13071428571428573
final_dataset,AB-X0,Turn Usurping,0.051028695181375205,377,7388,0.049523809523809526,0.18071428571428572,0.18369047619047618
final_dataset,AB-A0,Turn Continuing,0.0024363833243096914,18,7388,0.002261904761904762,0.011785714285714285,0.0
final_dataset,A0-XY,Turn Claiming,0.0,0,7388,0.0,0.0,0.0
final_dataset,A0-AY,Turn Continuing,0.0,0,7388,0.0,0.0,0.0
final_dataset,AB-XB,Turn Usurping,0.0,0,7388,0.0,0.0,0.0
final_dataset,AB-BY,Turn Receiving,0.0,0,7388,0.0,0.0,0.0
final_dataset,AB-XY,Turn Usurping,0.0,0,7388,0.0,0.0,0.0
final_dataset,AB-AY,Turn Continuing,0.0,0,7388,0.0,0.0,0.0
