file,field,n_a1_a2,n_a1_llm,n_a2_llm,alpha_a1_a2,alpha_a1_llm,alpha_a2_llm,avg_alpha
1 - 01-2-022.json,joint,266,266,266,0.8061,0.7448,0.6783,0.7431
10 - 10-1-065.json,joint,310,310,310,0.9294,0.6206,0.6074,0.7191
11 - 11-1-076.json,joint,279,279,279,0.9600,0.7605,0.7564,0.8256
12 - 12-3-094.json,joint,277,277,277,0.9564,0.8262,0.8498,0.8775
13 - 13-1-009.json,joint,243,243,243,0.9504,0.7343,0.7434,0.8094
14 - 14-1-036.json,joint,248,248,248,0.9357,0.4753,0.5023,0.6378
2 - 02-2-024.json,joint,261,261,261,0.7648,0.6590,0.6714,0.6984
3 - 03-2-007.json,joint,276,276,276,0.8798,0.7397,0.8352,0.8182
4 - 04-1-018.json,joint,213,213,213,0.9042,0.7352,0.6899,0.7764
5 - 05-2-068.json,joint,234,234,234,0.9058,0.6697,0.7181,0.7645
6 - 06-3-010.json,joint,219,219,219,0.8756,0.6025,0.6026,0.6936
7 - 07-2-008.json,joint,292,292,292,0.8226,0.6197,0.6387,0.6937
8 - 08-1-004.json,joint,317,317,317,0.9634,0.6444,0.6575,0.7551
9 - 09-1-061.json,joint,385,385,385,0.8981,0.6889,0.6724,0.7531
MEAN,joint,,,,0.8966,0.6801,0.6874,0.7547
